"","X.","path_length_microns","date","cell","condition","timepoint"
"78","Root centroid",0,"plated_03-06-23","WT","wt_005","1"
"79","Root centroid",0,"plated_03-06-23","WT","wt_006","1"
"80","Path (1) [L:21.161µm]",21.16142375,"plated_03-06-23","WT","wt_006","1"
"81","Path (2) [L:6.783µm]",6.782674358,"plated_03-06-23","WT","wt_006","1"
"82","Path (3) [L:4.461µm]",4.460779216,"plated_03-06-23","WT","wt_006","1"
"83","Path (4) [L:14.821µm]",14.82057719,"plated_03-06-23","WT","wt_006","1"
"84","Path (5) [L:11.440µm]",11.43986532,"plated_03-06-23","WT","wt_006","1"
"85","Path (6) [L:4.286µm]",4.285618083,"plated_03-06-23","WT","wt_006","1"
"86","Path (7) [L:4.373µm]",4.37319865,"plated_03-06-23","WT","wt_006","1"
"87","Path (8) [L:16.493µm]",16.49313131,"plated_03-06-23","WT","wt_006","1"
"88","Path (9) [L:9.127µm]",9.127445883,"plated_03-06-23","WT","wt_006","1"
"89","Path (10) [L:17.941µm]",17.94084656,"plated_03-06-23","WT","wt_006","1"
"90","Path (11) [L:7.118µm]",7.117970175,"plated_03-06-23","WT","wt_006","1"
"91","Path (12) [L:4.653µm]",4.653265992,"plated_03-06-23","WT","wt_006","1"
"92","Root centroid [L:0.000µm]",0,"plated_03-06-23","WT","wt_006","1"
"93","Root centroid [L:0.000µm]",0,"plated_03-06-23","WT","wt_007","1"
"94","Path (1) [L:32.452µm]",32.45225586,"plated_03-06-23","WT","wt_007","1"
"95","Path (2) [L:3.242µm]",3.2418278,"plated_03-06-23","WT","wt_007","1"
"96","Path (3) [L:4.783µm]",4.782674358,"plated_03-06-23","WT","wt_007","1"
"97","Path (4) [L:3.596µm]",3.596075033,"plated_03-06-23","WT","wt_007","1"
"98","Path (5) [L:9.284µm]",9.2836556,"plated_03-06-23","WT","wt_007","1"
"99","Path (6) [L:4.217µm]",4.216988933,"plated_03-06-23","WT","wt_007","1"
"100","Path (7) [L:6.392µm]",6.392150066,"plated_03-06-23","WT","wt_007","1"
"101","Path (8) [L:5.661µm]",5.660779216,"plated_03-06-23","WT","wt_007","1"
"102","Path (9) [L:9.836µm]",9.83594035,"plated_03-06-23","WT","wt_007","1"
"103","Path (10) [L:21.230µm]",21.2300529,"plated_03-06-23","WT","wt_007","1"
