\,Branch length (µm) [Min],Branch length (µm) [Max],Branch length (µm) [Mean],Branch length (µm) [SD],Branch length (µm) [Sum],Branch length (µm) [N],No. of branch points [Single value],No. of paths [Single value],No. of primary branches [Single value],SWC Type(s),Path length (µm)
Cell 1 rooted in Root centroid [L:0.000µm],1.8437902832994926,22.164284427466736,7.672083653109254,5.451737249917962,145.76958940907582,19.0,5.0,16.0,11.0,null,null
Path (1) [L:20.567µm],null,null,null,null,null,null,null,null,null,Undefined,20.56731119945854
Path (3) [L:3.651µm],null,null,null,null,null,null,null,null,null,Undefined,3.6513035081133736
Path (4) [L:1.099µm],null,null,null,null,null,null,null,null,null,Undefined,1.0990187582825675
Path (5) [L:4.474µm],null,null,null,null,null,null,null,null,null,Undefined,4.47417989148054
Path (6) [L:2.120µm],null,null,null,null,null,null,null,null,null,Undefined,2.1199326582148874
Path (7) [L:1.798µm],null,null,null,null,null,null,null,null,null,Undefined,1.7980375165651474
Path (8) [L:8.451µm],null,null,null,null,null,null,null,null,null,Undefined,8.451303508113359
Path (10) [L:1.766µm],null,null,null,null,null,null,null,null,null,Undefined,1.7656854249492389
Path (11) [L:15.161µm],null,null,null,null,null,null,null,null,null,Undefined,15.161423749153954
Path (12) [L:6.985µm],null,null,null,null,null,null,null,null,null,Undefined,6.984636841446695
Path (16) [L:2.143µm],null,null,null,null,null,null,null,null,null,Undefined,2.142809041582063
