 ,Label,Area,Mean,Min,Max,Perim.,IntDen,Median,RawIntDen,Ch
1,MAX_WT_006.tif:wt-006:1,270.702,3469.562,230,17646,234.382,939218.258,1977,52831027,1
2,MAX_WT_006.tif:wt-006:2,270.702,7652.647,251,38549,234.382,2071588.569,4469,116526857,2
3,MAX_WT_006.tif:wt-006:3,270.702,518.376,184,1970,234.382,140325.618,362,7893316,3
4,MAX_WT_006.tif:wt-006:4,270.702,681.069,181,4976,234.382,184367.004,311,10370644,4
