\,SWC Type(s),Path length (µm)
Root centroid,Undefined,0.0
Path (1),Axon,43.21042806490698
Path (2),(Basal) Dendrite,1.6323520916159089
Path (3),(Basal) Dendrite,1.9084944665313117
Path (4),(Basal) Dendrite,1.365685424949229
Path (5),(Basal) Dendrite,23.576450198781743
666666666664,0.0,14.13333333333334
Root_cell-2,Undefined,1.0,0.0,0.0,0.0,0.0,0.0
Path (4),Undefined,1.0,22.94606059060067,0.0,7.866666666666667,0.0,16.53333333333333
Path (5),Undefined,1.0,8.860779216362083,0.0,7.86666666666666,0.0,1.7333333333333343
Path (6),Undefined,1.0,18.081356407368855,0.0,9.199999999999996,0.0,13.066666666666677
 ,null,null,null,null,null,null,null
Mean,"",1.0,16.646905781366936,0.0,9.2,0.0,9.923809523809526
SD,"",0.0,15.079950806450523,0.0,8.302074707230986,0.0,9.429302520958062
N,"",7,7,7,7,7,7
Min,"",1.0,0.0,0.0,0.0,0.0,0.0
Max,"",1.0,42.03330444827415,0.0,22.800000000000004,0.0,24.0
Sum,"",7.0,116.52834046956856,0.0,64.39999999999999,0.0,69.46666666666668
 ,null,null,null,null,null,null,null
