\,SWC Type(s),Path length (µm)
Root centroid [L:0.000µm],Undefined,0.0
Path (1) [L:23.407µm],Axon,23.40683980696273
Path (2) [L:15.487µm],(Basal) Dendrite,15.487243857673459
Path (3) [L:11.813µm],(Basal) Dendrite,11.813063966192871
Path (4) [L:15.331µm],(Basal) Dendrite,15.3310341409729
Path (5) [L:14.973µm],(Basal) Dendrite,14.972861940837543
