\,Branch length (µm) [Min],Branch length (µm) [Max],Branch length (µm) [Mean],Branch length (µm) [SD],Branch length (µm) [Sum],Branch length (µm) [N],No. of branch points [Single value],No. of paths [Single value],No. of primary branches [Single value],SWC Type(s),Path length (µm)
Root centroid [L:0.000µm],null,null,null,null,null,null,null,null,null,Undefined,0
Path (1) [L:24.942µm],null,null,null,null,null,null,null,null,null,Undefined,24.94213562
Path (2) [L:10.636µm],null,null,null,null,null,null,null,null,null,Undefined,10.63594035
Path (3) [L:18.592µm],null,null,null,null,null,null,null,null,null,Undefined,18.59181336
Path (4) [L:17.255µm],null,null,null,null,null,null,null,null,null,Undefined,17.25455506
Path (5) [L:19.666µm],null,null,null,null,null,null,null,null,null,Undefined,19.66632996
Path (6) [L:16.329µm],null,null,null,null,null,null,null,null,null,Undefined,16.32907166
Path (7) [L:6.451µm],null,null,null,null,null,null,null,null,null,Undefined,6.451303508
Path (8) [L:14.870µm],null,null,null,null,null,null,null,null,null,Undefined,14.87025492
Path (9) [L:4.539µm],null,null,null,null,null,null,null,null,null,Undefined,4.538884075
Root centroid [L:0.000µm],null,null,null,null,null,null,null,null,null,Undefined,0
