\,SWC Type(s),Path length (µm),Branch length (µm) [Min],Branch length (µm) [Max],Branch length (µm) [Mean],Branch length (µm) [SD],Branch length (µm) [Sum],Branch length (µm) [N],Length of longest shortest path (µm) [Single value],Length of primary branches (µm) [Min],Length of primary branches (µm) [Max],Length of primary branches (µm) [Mean],Length of primary branches (µm) [SD],Length of primary branches (µm) [Sum],Length of primary branches (µm) [N],No. of paths [Single value],No. of primary branches [Single value],Path channel [Min],Path channel [Max],Path channel [Mean],Path channel [SD],Path channel [Sum],Path channel [N],Path length (µm) [Min],Path length (µm) [Max],Path length (µm) [Mean],Path length (µm) [SD],Path length (µm) [Sum],Path length (µm) [N],Sholl: No. maxima [Single value],No. of compartments
Path (15),Undefined,1.664704183,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Path (16),Undefined,2.708494467,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Path (17),Undefined,4.474179891,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Path (18),Undefined,1.287580567,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Path (19),Undefined,2.95228475,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Path (20),Undefined,2.276142375,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Path (21),Undefined,2.097056275,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Path (22),Undefined,2.009475708,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Path (23),Undefined,3.761760458,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Path (24),Undefined,2.975161133,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Path (25),Undefined,3.618951416,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Path (26),Undefined,3.297056275,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Path (27),Undefined,3.784636841,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Path (28),Undefined,5.39411255,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Path (29),Undefined,4.538884075,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Path (30),Undefined,10.06632996,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Root centroid,Axon,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Cell 1 rooted in Root centroid,null,null,0.133333333,17.40150603,4.022401966,3.852228334,209.1649022,52,60.07417216,7.247091876,17.40150603,12.33894116,4.158768731,74.03364693,6,31,6,3,3,3,0,93,31,0,54.16988933,5.745451438,9.465814522,178.1089946,31,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neurites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.16988933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.676142375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.180711875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.824502158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.06829244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.61861471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
