 ,Label,Area,Mean,Min,Max,Perim.,Median,Ch
1,MAX_WT_003.tif:wt 003 whole-cell:1,164.444,2221.620,218,14206,139.032,1154,1
2,MAX_WT_003.tif:n1:1,33.084,1839.391,218,7162,54.534,1280,1
3,MAX_WT_003.tif:n2:1,14.987,852.140,228,4170,28.839,536,1
4,MAX_WT_003.tif:n3:1,18.062,1054.424,223,5636,38.327,623,1
5,MAX_WT_003.tif:n4:1,8.747,797.970,264,3075,24.255,651,1
6,MAX_WT_003.tif:soma:1,86.258,3177.936,258,14206,35.041,1999,1
7,MAX_WT_003.tif:wt 003 whole-cell:2,164.444,4897.695,230,30797,139.032,2922,2
8,MAX_WT_003.tif:n1:2,33.084,3581.014,235,16467,54.534,2168,2
9,MAX_WT_003.tif:n2:2,14.987,1443.772,270,10437,28.839,919,2
10,MAX_WT_003.tif:n3:2,18.062,1638.888,230,12195,38.327,904,2
11,MAX_WT_003.tif:n4:2,8.747,1096.774,287,4916,24.255,781,2
12,MAX_WT_003.tif:soma:2,86.258,7454.685,395,30797,35.041,6674,2
13,MAX_WT_003.tif:wt 003 whole-cell:3,164.444,5375.654,212,19286,139.032,2410,3
14,MAX_WT_003.tif:n1:3,33.084,2128.481,240,9770,54.534,1447,3
15,MAX_WT_003.tif:n2:3,14.987,1280.310,227,5731,28.839,956,3
16,MAX_WT_003.tif:n3:3,18.062,1417.975,212,6872,38.327,1052,3
17,MAX_WT_003.tif:n4:3,8.747,1866.297,376,5879,24.255,1537,3
18,MAX_WT_003.tif:soma:3,86.258,8881.409,311,19286,35.041,10681,3
19,MAX_WT_003.tif:wt 003 whole-cell:4,164.444,1100.313,199,6431,139.032,380,4
20,MAX_WT_003.tif:n1:4,33.084,370.525,199,2134,54.534,333,4
21,MAX_WT_003.tif:n2:4,14.987,328.375,203,586,28.839,317,4
22,MAX_WT_003.tif:n3:4,18.062,307.357,201,644,38.327,296,4
23,MAX_WT_003.tif:n4:4,8.747,324.183,213,565,24.255,316,4
24,MAX_WT_003.tif:soma:4,86.258,1792.674,203,6431,35.041,1283,4
