\,SWC Type(s),Path length (µm)
Path (1),Axon,83.0986242792383
Path (2),(Basal) Dendrite,11.624502157876481
Path (3),(Basal) Dendrite,13.492794599052436
Path (4),(Basal) Dendrite,17.348359782961072
Path (5),Undefined,2.8189514164974647
Path (6),Undefined,1.9771236166328225
Path (7),Undefined,4.184636841446698
Path (8),Undefined,1.9313708498984692
Path (9),Undefined,1.3428090415820524
Path (10),Undefined,1.3656854249492425
Path (11),Undefined,2.097056274847705
Path (12),Undefined,1.8532659915482175
Path (13),Undefined,3.140846558147205
Path (14),Undefined,2.2856180831641217
Path (15),Undefined,3.8627416997969686
Path (16),Undefined,2.5522847498307986
Path (17),Undefined,3.1637229415143766
Path (18),Undefined,2.6303896081810505
Path (19),Undefined,1.7428090415820592
Root centroid,Undefined,0.0
