\,Branch length (µm) [Min],Branch length (µm) [Max],Branch length (µm) [Mean],Branch length (µm) [SD],Branch length (µm) [Sum],Branch length (µm) [N],No. of branch points [Single value],No. of paths [Single value],No. of primary branches [Single value],SWC Type(s),Path length (µm)
Root centroid [L:0.000µm],null,null,null,null,null,null,null,null,null,Undefined,0
Path (1) [L:32.452µm],null,null,null,null,null,null,null,null,null,Undefined,32.45225586
Path (2) [L:3.242µm],null,null,null,null,null,null,null,null,null,Undefined,3.2418278
Path (3) [L:4.783µm],null,null,null,null,null,null,null,null,null,Undefined,4.782674358
Path (4) [L:3.596µm],null,null,null,null,null,null,null,null,null,Undefined,3.596075033
Path (5) [L:9.284µm],null,null,null,null,null,null,null,null,null,Undefined,9.2836556
Path (6) [L:4.217µm],null,null,null,null,null,null,null,null,null,Undefined,4.216988933
Path (7) [L:6.392µm],null,null,null,null,null,null,null,null,null,Undefined,6.392150066
Path (8) [L:5.661µm],null,null,null,null,null,null,null,null,null,Undefined,5.660779216
Path (9) [L:9.836µm],null,null,null,null,null,null,null,null,null,Undefined,9.83594035
Path (10) [L:21.230µm],null,null,null,null,null,null,null,null,null,Undefined,21.2300529
Path (11) [L:11.354µm],null,null,null,null,null,null,null,null,null,Undefined,11.35391052
Path (12) [L:1.554µm],null,null,null,null,null,null,null,null,null,Undefined,1.554247233
Path (13) [L:3.830µm],null,null,null,null,null,null,null,null,null,Undefined,3.830389608
Path (14) [L:2.874µm],null,null,null,null,null,null,null,null,null,Undefined,2.874179891
Path (15) [L:3.964µm],null,null,null,null,null,null,null,null,null,Undefined,3.963722942
Path (16) [L:23.251µm],null,null,null,null,null,null,null,null,null,Undefined,23.25063009
Path (17) [L:5.973µm],null,null,null,null,null,null,null,null,null,Undefined,5.97319865
Path (18) [L:9.592µm],null,null,null,null,null,null,null,null,null,Undefined,9.592150066
Path (19) [L:4.851µm],null,null,null,null,null,null,null,null,null,Undefined,4.851303508
Path (20) [L:3.853µm],null,null,null,null,null,null,null,null,null,Undefined,3.853265992
Root centroid [L:0.000µm],null,null,null,null,null,null,null,null,null,Undefined,0
