 ,Label,Area,Mean,Min,Max,Perim.,IntDen,Median,RawIntDen,Ch
1,MAX_WT_007.tif:wt-007:1,298.756,1896.669,214,15080,274.838,566640.338,878,31873519,1
2,MAX_WT_007.tif:wt-007:2,298.756,7262.032,221,37347,274.838,2169572.338,3942,122038444,2
3,MAX_WT_007.tif:wt-007:3,298.756,835.853,191,4005,274.838,249715.787,513,14046513,3
4,MAX_WT_007.tif:wt-007:4,298.756,691.027,180,6002,274.838,206448.071,308,11612704,4
