\,Branch length (µm) [Min],Branch length (µm) [Max],Branch length (µm) [Mean],Branch length (µm) [SD],Branch length (µm) [Sum],Branch length (µm) [N],Length of longest shortest path (µm) [Single value],Length of primary branches (µm) [Min],Length of primary branches (µm) [Max],Length of primary branches (µm) [Mean],Length of primary branches (µm) [SD],Length of primary branches (µm) [Sum],Length of primary branches (µm) [N],No. of paths [Single value],No. of primary branches [Single value],Path channel [Min],Path channel [Max],Path channel [Mean],Path channel [SD],Path channel [Sum],Path channel [N],Path length (µm) [Min],Path length (µm) [Max],Path length (µm) [Mean],Path length (µm) [SD],Path length (µm) [Sum],Path length (µm) [N],Sholl: No. maxima [Single value],No. of compartments,SWC Type(s),Path length (µm)
Cell 1 rooted in Root centroid,8.793432442152675,45.116623339077826,20.46294756727687,11.903343993443228,143.24063297093812,7.0,64.88402583960945,8.793432442152675,21.688590328813913,17.50597941643297,5.030448599940981,87.52989708216487,5.0,7.0,5.0,3.0,3.0,3.0,0.0,21.0,7.0,0.0,58.5904665216329,17.06179618004351,19.38202821401366,119.43257326030457,7.0,1.0,3,null,null
Root centroid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Axon,0.0
Path (1),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Axon,58.5904665216329
Path (2),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(Basal) Dendrite,3.5865993248815644
Path (3),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(Basal) Dendrite,14.894757082487288
Path (4),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(Basal) Dendrite,13.96534871602367
Path (5),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(Basal) Dendrite,17.801289065583727
