\,SWC Type(s),Path length (µm)
Root centroid,Undefined,0.0
Path (1),Axon,27.406839806962804
Path (2),(Basal) Dendrite,9.744434816091365
Path (3),(Basal) Dendrite,11.022539674441614
Path (4),(Basal) Dendrite,4.207513224813869
Path (5),(Basal) Dendrite,8.401625774509306
