\,SWC Type(s),Path length (µm),Branch length (µm) [Min],Branch length (µm) [Max],Branch length (µm) [Mean],Branch length (µm) [SD],Branch length (µm) [Sum],Branch length (µm) [N],Length of longest shortest path (µm) [Single value],Length of primary branches (µm) [Min],Length of primary branches (µm) [Max],Length of primary branches (µm) [Mean],Length of primary branches (µm) [SD],Length of primary branches (µm) [Sum],Length of primary branches (µm) [N],No. of paths [Single value],No. of primary branches [Single value],Path channel [Min],Path channel [Max],Path channel [Mean],Path channel [SD],Path channel [Sum],Path channel [N],Path length (µm) [Min],Path length (µm) [Max],Path length (µm) [Mean],Path length (µm) [SD],Path length (µm) [Sum],Path length (µm) [N],Sholl: No. maxima [Single value],No. of compartments
Path (1),Axon,37.882645472952596,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Path (2),(Basal) Dendrite,16.650966799187785,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Path (3),(Basal) Dendrite,12.153910524340073,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Path (4),(Basal) Dendrite,24.445079348883226,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Path (5),(Basal) Dendrite,4.184636841446702,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Path (6),(Basal) Dendrite,26.2012890655837,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Path (7),(Basal) Dendrite,23.978075973290977,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Path (8),Undefined,21.97482442427239,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Path (9),Undefined,2.276142374915395,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Path (10),Undefined,1.6094757082487294,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Path (11),Undefined,0.9656854249492371,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Path (12),Undefined,1.9542472332656462,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Path (13),Undefined,1.0437902832994919,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Path (14),Undefined,2.740846558147204,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Path (15),Undefined,5.849341024678508,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Root centroid,Axon,0.0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Cell 1 rooted in Root centroid,null,null,0.9656854249492371,33.50457941217552,9.940821137454234,10.174927994681132,228.63888616144737,23.0,44.39395083406642,9.327141238520444,33.50457941217552,20.524799316506034,10.741310533859638,143.67359521554224,7.0,16.0,7.0,3.0,3.0,3.0,0.0,48.0,16.0,0.0,37.882645472952596,11.494434816091355,12.002432048442968,183.91095705746167,16.0,1.0,3
