 ,Label,Area,Mean,Min,Max,Perim.,Median,Ch
1,MAX_WT_000.tif:wt 000 whole-cell:1,97.476,2403.978,222,14506,99.732,1507,1
2,MAX_WT_000.tif:n1:1,34.258,2545.708,222,8083,56.647,2051,1
3,MAX_WT_000.tif:n2:1,3.556,1531.225,479,3359,13.287,1428,1
4,MAX_WT_000.tif:soma:1,50.418,2256.364,289,14506,30.174,1280,1
5,MAX_WT_000.tif:wt 000 whole-cell:2,97.476,2404.985,239,11296,99.732,2250,2
6,MAX_WT_000.tif:n1:2,34.258,2104.758,239,8626,56.647,1574,2
7,MAX_WT_000.tif:n2:2,3.556,1735.130,343,4740,13.287,1599,2
8,MAX_WT_000.tif:soma:2,50.418,2668.535,372,11296,30.174,2453,2
9,MAX_WT_000.tif:wt 000 whole-cell:3,97.476,975.517,211,2774,99.732,929,3
10,MAX_WT_000.tif:n1:3,34.258,657.306,211,1990,56.647,597,3
11,MAX_WT_000.tif:n2:3,3.556,536.560,248,1219,13.287,519,3
12,MAX_WT_000.tif:soma:3,50.418,1258.064,240,2774,30.174,1317,3
13,MAX_WT_000.tif:wt 000 whole-cell:4,97.476,1650.336,197,8456,99.732,404,4
14,MAX_WT_000.tif:n1:4,34.258,313.230,197,687,56.647,304,4
15,MAX_WT_000.tif:n2:4,3.556,356.000,236,726,13.287,340,4
16,MAX_WT_000.tif:soma:4,50.418,2883.593,204,8456,30.174,3450,4
