\,SWC Type(s),Path length (µm)
Root centroid [L:0.000µm],Undefined,0.0
Path (1) [L:30.249µm],Axon,30.248667606827354
Path (2) [L:11.666µm],(Basal) Dendrite,11.666329957741098
Path (3) [L:13.171µm],(Basal) Dendrite,13.17089945740269
Path (4) [L:8.028µm],(Basal) Dendrite,8.028427124746203
Path (5) [L:12.066µm],(Basal) Dendrite,12.066329957741093
