\,Branch length (µm) [Min],Branch length (µm) [Max],Branch length (µm) [Mean],Branch length (µm) [SD],Branch length (µm) [Sum],Branch length (µm) [N],No. of branch points [Single value],No. of paths [Single value],No. of primary branches [Single value],SWC Type(s),Path length (µm)
Cell 1 rooted in Root centroid [L:0.000µm],0.37712361663282656,51.73821065686122,11.126671832389572,10.013557010671366,367.18017046885603,33.0,13.0,22.0,9.0,null,null
Path (1) [L:67.981µm],null,null,null,null,null,null,null,null,null,Undefined,67.98132752230954
Path (2) [L:16.268µm],null,null,null,null,null,null,null,null,null,Undefined,16.268292441175962
Path (3) [L:5.238µm],null,null,null,null,null,null,null,null,null,Undefined,5.237902832994924
Path (4) [L:8.925µm],null,null,null,null,null,null,null,null,null,Undefined,8.925483399593908
Path (5) [L:19.274µm],null,null,null,null,null,null,null,null,null,Undefined,19.2735064736294
Path (6) [L:3.352µm],null,null,null,null,null,null,null,null,null,Undefined,3.3522847498307913
Path (7) [L:20.257µm],null,null,null,null,null,null,null,null,null,Undefined,20.25651754056681
Path (8) [L:2.419µm],null,null,null,null,null,null,null,null,null,Undefined,2.418951416497459
Path (9) [L:2.962µm],null,null,null,null,null,null,null,null,null,Undefined,2.9617604580795227
Path (10) [L:22.402µm],null,null,null,null,null,null,null,null,null,Undefined,22.401625774509302
Path (11) [L:4.916µm],null,null,null,null,null,null,null,null,null,Undefined,4.916007691345173
Path (12) [L:7.505µm],null,null,null,null,null,null,null,null,null,Undefined,7.504569499661585
Path (13) [L:18.529µm],null,null,null,null,null,null,null,null,null,Undefined,18.528734948612485
Path (14) [L:19.599µm],null,null,null,null,null,null,null,null,null,Undefined,19.59932658214887
Path (15) [L:19.277µm],null,null,null,null,null,null,null,null,null,Undefined,19.27743144049913
Path (16) [L:2.543µm],null,null,null,null,null,null,null,null,null,Undefined,2.542809041582063
Path (17) [L:4.488µm],null,null,null,null,null,null,null,null,null,Undefined,4.487580566598982
Path (18) [L:30.049µm],null,null,null,null,null,null,null,null,null,Undefined,30.049004315752903
Path (19) [L:19.413µm],null,null,null,null,null,null,null,null,null,Undefined,19.413063966192876
Path (20) [L:3.775µm],null,null,null,null,null,null,null,null,null,Undefined,3.7751611331979715
Path (21) [L:13.344µm],null,null,null,null,null,null,null,null,null,Undefined,13.34443481609135
Root centroid [L:0.000µm],null,null,null,null,null,null,null,null,null,Undefined,0.0
