 ,Label,Area,Mean,Min,Max,Perim.,Median,Ch
1,MAX_WT_005.tif:wt 005 whole-cell:1,399.716,3327.299,240,16898,580.927,2589,1
2,MAX_WT_005.tif:n1:1,108.053,2840.620,251,9818,176.201,2335,1
3,MAX_WT_005.tif:n2:1,8.427,1925.091,324,7506,27.081,1446,1
4,MAX_WT_005.tif:n3:1,14.293,1398.759,304,6434,29.714,1176,1
5,MAX_WT_005.tif:n4:1,10.347,3422.388,818,6946,25.911,3441,1
6,MAX_WT_005.tif:n5:1,34.471,2274.487,240,9616,77.656,1547,1
7,MAX_WT_005.tif:n6:1,25.191,2566.351,301,9044,72.855,2079,1
8,MAX_WT_005.tif:n7:1,14.880,2710.207,307,7915,37.945,2790,1
9,MAX_WT_005.tif:n8:1,18.667,2053.310,270,5491,45.925,1684,1
10,MAX_WT_005.tif:n9:1,22.471,1753.660,246,6377,51.745,1309,1
11,MAX_WT_005.tif:n10:1,21.156,3043.486,433,7305,57.306,2870,1
12,MAX_WT_005.tif:soma:1,145.600,4940.614,398,16898,51.455,4494,1
13,MAX_WT_005.tif:wt 005 whole-cell:2,399.716,8131.210,243,39059,580.927,5657,2
14,MAX_WT_005.tif:n1:2,108.053,5302.730,243,25414,176.201,3900,2
15,MAX_WT_005.tif:n2:2,8.427,2801.696,438,12121,27.081,1994,2
16,MAX_WT_005.tif:n3:2,14.293,2775.547,269,15541,29.714,2168,2
17,MAX_WT_005.tif:n4:2,10.347,5933.473,758,16872,25.911,5353,2
18,MAX_WT_005.tif:n5:2,34.471,3948.130,281,22794,77.656,2705,2
19,MAX_WT_005.tif:n6:2,25.191,4190.972,362,17935,72.855,3325,2
20,MAX_WT_005.tif:n7:2,14.880,4932.634,525,20592,37.945,4360,2
21,MAX_WT_005.tif:n8:2,18.667,3748.995,348,16259,45.925,3278,2
22,MAX_WT_005.tif:n9:2,22.471,3591.862,269,15685,51.745,2875,2
23,MAX_WT_005.tif:n10:2,21.156,5044.581,540,19740,57.306,4228,2
24,MAX_WT_005.tif:soma:2,145.600,15349.223,1002,39059,51.455,13420,2
25,MAX_WT_005.tif:wt 005 whole-cell:3,399.716,1078.222,195,5396,580.927,572,3
26,MAX_WT_005.tif:n1:3,108.053,537.825,199,2438,176.201,454,3
27,MAX_WT_005.tif:n2:3,8.427,538.203,225,1375,27.081,505,3
28,MAX_WT_005.tif:n3:3,14.293,473.516,203,1459,29.714,437,3
29,MAX_WT_005.tif:n4:3,10.347,576.735,242,1703,25.911,547,3
30,MAX_WT_005.tif:n5:3,34.471,478.938,203,2119,77.656,421,3
31,MAX_WT_005.tif:n6:3,25.191,476.539,203,2222,72.855,409,3
32,MAX_WT_005.tif:n7:3,14.880,537.603,218,1870,37.945,472,3
33,MAX_WT_005.tif:n8:3,18.667,442.066,195,1387,45.925,414,3
34,MAX_WT_005.tif:n9:3,22.471,525.745,204,1583,51.745,484,3
35,MAX_WT_005.tif:n10:3,21.156,582.468,198,1903,57.306,512,3
36,MAX_WT_005.tif:soma:3,145.600,2127.890,262,5396,51.455,1999,3
37,MAX_WT_005.tif:wt 005 whole-cell:4,399.716,582.373,187,4451,580.927,312,4
38,MAX_WT_005.tif:n1:4,108.053,297.671,191,839,176.201,288,4
39,MAX_WT_005.tif:n2:4,8.427,302.247,211,589,27.081,293,4
40,MAX_WT_005.tif:n3:4,14.293,307.101,198,591,29.714,298,4
41,MAX_WT_005.tif:n4:4,10.347,316.364,199,599,25.911,308,4
42,MAX_WT_005.tif:n5:4,34.471,319.018,198,903,77.656,306,4
43,MAX_WT_005.tif:n6:4,25.191,307.790,195,1960,72.855,286,4
44,MAX_WT_005.tif:n7:4,14.880,294.697,187,540,37.945,287,4
45,MAX_WT_005.tif:n8:4,18.667,296.469,191,726,45.925,286,4
46,MAX_WT_005.tif:n9:4,22.471,297.462,189,586,51.745,286,4
47,MAX_WT_005.tif:n10:4,21.156,308.690,194,622,57.306,297,4
48,MAX_WT_005.tif:soma:4,145.600,1069.115,193,4451,51.455,412,4
