\,SWC Type(s),Path length (µm)
Path (1),Axon,23.966974490533033
Path (2),(Basal) Dendrite,10.567311199458539
Path (3),(Basal) Dendrite,20.13265991548225
Path (4),(Basal) Dendrite,18.24311686544835
Path (5),(Basal) Dendrite,3.618951416497457
Path (6),Undefined,5.173198649763118
Path (7),Undefined,3.1084944665312757
Root centroid,Axon,0.0
