"","Path length (µm) [Min]","Path length (µm) [Max]","Path length (µm) [Mean]","Path length (µm) [SD]","Path length (µm) [Sum]","Path length (µm) [N]","Path length (µm)","date","cell","condition","timepoint"
"65",NA,NA,NA,NA,NA,NA,"1.8209139","plated_03-06-23","wt_005","WT","1"
"66",NA,NA,NA,NA,NA,NA,"27.09442037","plated_03-06-23","wt_005","WT","1"
"67",NA,NA,NA,NA,NA,NA,"30.93428569","plated_03-06-23","wt_005","WT","1"
"68",NA,NA,NA,NA,NA,NA,"5.449341025","plated_03-06-23","wt_005","WT","1"
"69",NA,NA,NA,NA,NA,NA,"19.5882251","plated_03-06-23","wt_005","WT","1"
"70",NA,NA,NA,NA,NA,NA,"5.1045695","plated_03-06-23","wt_005","WT","1"
"71",NA,NA,NA,NA,NA,NA,"18.63756612","plated_03-06-23","wt_005","WT","1"
"72",NA,NA,NA,NA,NA,NA,"6.786599325","plated_03-06-23","wt_005","WT","1"
"73",NA,NA,NA,NA,NA,NA,"20.40325155","plated_03-06-23","wt_005","WT","1"
"74",NA,NA,NA,NA,NA,NA,"8.148359783","plated_03-06-23","wt_005","WT","1"
"75",NA,NA,NA,NA,NA,NA,"7.371236166","plated_03-06-23","wt_005","WT","1"
"76",NA,NA,NA,NA,NA,NA,"21.2300529","plated_03-06-23","wt_005","WT","1"
"77",NA,NA,NA,NA,NA,NA,"4.695093791","plated_03-06-23","wt_005","WT","1"
"78",NA,NA,NA,NA,NA,NA,"0","plated_03-06-23","wt_005","WT","1"
"79",NA,NA,NA,NA,NA,NA,"0","plated_03-06-23","wt_006","WT","1"
"80",NA,NA,NA,NA,NA,NA,"21.16142375","plated_03-06-23","wt_006","WT","1"
"81",NA,NA,NA,NA,NA,NA,"6.782674358","plated_03-06-23","wt_006","WT","1"
"82",NA,NA,NA,NA,NA,NA,"4.460779216","plated_03-06-23","wt_006","WT","1"
"83",NA,NA,NA,NA,NA,NA,"14.82057719","plated_03-06-23","wt_006","WT","1"
"84",NA,NA,NA,NA,NA,NA,"11.43986532","plated_03-06-23","wt_006","WT","1"
"85",NA,NA,NA,NA,NA,NA,"4.285618083","plated_03-06-23","wt_006","WT","1"
"86",NA,NA,NA,NA,NA,NA,"4.37319865","plated_03-06-23","wt_006","WT","1"
"87",NA,NA,NA,NA,NA,NA,"16.49313131","plated_03-06-23","wt_006","WT","1"
"88",NA,NA,NA,NA,NA,NA,"9.127445883","plated_03-06-23","wt_006","WT","1"
"89",NA,NA,NA,NA,NA,NA,"17.94084656","plated_03-06-23","wt_006","WT","1"
"90",NA,NA,NA,NA,NA,NA,"7.117970175","plated_03-06-23","wt_006","WT","1"
"91",NA,NA,NA,NA,NA,NA,"4.653265992","plated_03-06-23","wt_006","WT","1"
"92",NA,NA,NA,NA,NA,NA,"0","plated_03-06-23","wt_006","WT","1"
"93",NA,NA,NA,NA,NA,NA,"0","plated_03-06-23","wt_007","WT","1"
"94",NA,NA,NA,NA,NA,NA,"32.45225586","plated_03-06-23","wt_007","WT","1"
"95",NA,NA,NA,NA,NA,NA,"3.2418278","plated_03-06-23","wt_007","WT","1"
"96",NA,NA,NA,NA,NA,NA,"4.782674358","plated_03-06-23","wt_007","WT","1"
"97",NA,NA,NA,NA,NA,NA,"3.596075033","plated_03-06-23","wt_007","WT","1"
"98",NA,NA,NA,NA,NA,NA,"9.2836556","plated_03-06-23","wt_007","WT","1"
"99",NA,NA,NA,NA,NA,NA,"4.216988933","plated_03-06-23","wt_007","WT","1"
"100",NA,NA,NA,NA,NA,NA,"6.392150066","plated_03-06-23","wt_007","WT","1"
"101",NA,NA,NA,NA,NA,NA,"5.660779216","plated_03-06-23","wt_007","WT","1"
"102",NA,NA,NA,NA,NA,NA,"9.83594035","plated_03-06-23","wt_007","WT","1"
"103",NA,NA,NA,NA,NA,NA,"21.2300529","plated_03-06-23","wt_007","WT","1"
"104",NA,NA,NA,NA,NA,NA,"11.35391052","plated_03-06-23","wt_007","WT","1"
"105",NA,NA,NA,NA,NA,NA,"1.554247233","plated_03-06-23","wt_007","WT","1"
"106",NA,NA,NA,NA,NA,NA,"3.830389608","plated_03-06-23","wt_007","WT","1"
"107",NA,NA,NA,NA,NA,NA,"2.874179891","plated_03-06-23","wt_007","WT","1"
