"","path_length_microns","date","cell","condition","timepoint"
"103","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"104","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"105","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"106","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"107","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"108","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"109","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"110","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"111","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"112","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"113","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"114","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"115","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"116","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"117","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"118","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"119","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"120","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"121","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"122","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"123","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"124","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"125","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"126","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"127","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"128","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"129","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"130","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"131","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"132","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"133","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"134","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"135","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"136","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"137","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"138","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"139","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"140","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"141","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"142","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"143","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"144","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"145","Path length (5m)","plated_03-06-23","WT","wt_000","1"
"146","Path length (5m)","plated_03-06-23","WT","wt_000","1"
