"","summary(df_to_export).path_length_microns","summary(df_to_export).neurite_number","summary(df_to_export).path_length_sum","summary(df_to_export).neurite_per_sum","summary(df_to_export).morphological_long_axon_present","summary(df_to_export).morphological_short_axon_present","summary(df_to_export).    date","summary(df_to_export).    cell","summary(df_to_export). condition","summary(df_to_export). timepoint","date","cell","condition","timepoint"
"1",Min.   :  1.255  ,Min.   : 1.000  ,Min.   : 58.87  ,Min.   :0.004251  ,Mode :logical  ,Mode :logical  ,Length:152        ,Length:152        ,Length:152        ,Length:152        ,"plated_03-06-23","NA","E254A","1"
"2",1st Qu.:  3.116  ,1st Qu.: 3.000  ,1st Qu.: 84.57  ,1st Qu.:0.016829  ,FALSE:142      ,FALSE:142      ,Class :character  ,Class :character  ,Class :character  ,Class :character  ,"plated_03-06-23","NA","E254A","1"
"3",Median :  5.810  ,Median : 7.000  ,Median :230.75  ,Median :0.032009  ,TRUE :10       ,TRUE :10       ,Mode  :character  ,Mode  :character  ,Mode  :character  ,Mode  :character  ,"plated_03-06-23","NA","E254A","1"
"4",Mean   : 14.106  ,Mean   : 8.954  ,Mean   :219.42  ,Mean   :0.085526  ,NA,NA,NA,NA,NA,NA,"plated_03-06-23","NA","E254A","1"
"5",3rd Qu.: 12.153  ,3rd Qu.:13.000  ,3rd Qu.:347.27  ,3rd Qu.:0.082242  ,NA,NA,NA,NA,NA,NA,"plated_03-06-23","NA","E254A","1"
"6",Max.   :149.837  ,Max.   :30.000  ,Max.   :347.41  ,Max.   :0.724595  ,NA,NA,NA,NA,NA,NA,"plated_03-06-23","NA","E254A","1"
