\,SWC Type(s),Path length (µm),
Root centroid [L:0.000µm],Undefined,0,neurites
Path (1) [L:35.399µm],Axon,35.39898987,35.39898987
Path (5) {secondary-neurite} [L:5.707µm],Undefined,5.706531983,23.90782105
Path (2) [L:23.908µm],(Basal) Dendrite,23.90782105,3.108494467
Path (3) [L:3.108µm],(Basal) Dendrite,3.108494467,3.4627417
Path (4) [L:3.463µm],(Basal) Dendrite,3.4627417,
