\,Branch length (µm) [Min],Branch length (µm) [Max],Branch length (µm) [Mean],Branch length (µm) [SD],Branch length (µm) [Sum],Branch length (µm) [N],Length of longest shortest path (µm) [Single value],Length of primary branches (µm) [Min],Length of primary branches (µm) [Max],Length of primary branches (µm) [Mean],Length of primary branches (µm) [SD],Length of primary branches (µm) [Sum],Length of primary branches (µm) [N],No. of paths [Single value],No. of primary branches [Single value],Path channel [Min],Path channel [Max],Path channel [Mean],Path channel [SD],Path channel [Sum],Path channel [N],Path length (µm) [Min],Path length (µm) [Max],Path length (µm) [Mean],Path length (µm) [SD],Path length (µm) [Sum],Path length (µm) [N],Sholl: No. maxima [Single value],No. of compartments,SWC Type(s),Path length (µm)
Cell 1 rooted in Root centroid [L:0.000µm],13.062356482741622,60.31660046211461,29.55100774468687,26.66672433029567,88.65302323406061,3.0,60.31660046211461,13.062356482741622,60.31660046211461,29.55100774468687,26.66672433029567,88.65302323406061,3.0,4.0,3.0,3.0,3.0,3.0,0.0,12.0,4.0,0.0,53.8692447978342,18.558073580374366,24.061209576356923,74.23229432149746,4.0,1.0,3,null,null
Root centroid [L:0.000µm],null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Undefined,0.0
Path (1) [L:53.869µm],null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Axon,53.8692447978342
Path (2) [L:8.567µm],null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(Basal) Dendrite,8.567311199458542
Path (3) [L:11.796µm],null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(Basal) Dendrite,11.79573832420472
