 ,Label,Area,Mean,Min,Max,Perim.,IntDen,Median,RawIntDen,Ch
1,MAX_WT_009.tif:wt-009:1,313.831,2498.456,234,15263,262.680,784093.209,1711,44105243,1
2,MAX_WT_009.tif:wt-009:2,313.831,11265.225,277,41440,262.680,3535378.116,5838,198865019,2
3,MAX_WT_009.tif:wt-009:3,313.831,1586.811,188,7501,262.680,497990.773,606,28011981,3
4,MAX_WT_009.tif:wt-009:4,313.831,734.973,190,5304,262.680,230657.547,347,12974487,4
