\,SWC Type(s),Path length (µm)
Path (1),Axon,79.61625774509308
Path (2),(Basal) Dendrite,11.45881673292723
Path (3),(Basal) Dendrite,6.1199326582148785
Path (4),(Basal) Dendrite,6.506531983096445
Root centroid,Undefined,0.0
