\,SWC Type(s),Path length (µm)
Path (1) [L:49.600µm],Undefined,49.60027893880717
Path (2) [L:6.360µm],Undefined,6.359797974644677
Path (3) [L:3.320µm],Undefined,3.3199326582148867
Root centroid [L:0.000µm],Undefined,0.0
 ,null,null
Mean,"",14.820002392916685
SD,"",23.331857835990615
N,"",4
Min,"",0.0
Max,"",49.60027893880717
Sum,"",59.28000957166674
 ,null,null
