\,SWC Type(s),Path length (µm)
Root centroid [L:0.000µm],Undefined,0.0
Path (1) [L:27.617µm],Axon,27.616652224136992
Path (2) [L:25.274µm],(Basal) Dendrite,25.273506473629396
Path (3) [L:1.343µm] {secondary-neurite},Undefined,1.3428090415820586
Path (4) [L:2.764µm] {secondary-neurite},Undefined,2.763722941514381
Path (5) [L:1.876µm] {secondary-neurite},Undefined,1.8761423749153971
