 ,Label,Area,Mean,Min,Max,Perim.,IntDen,Median,RawIntDen,Ch
1,MAX_WT_010.tif:wt-010:1,140.480,3350.187,266,15263,98.955,470634.329,2082,26473181.000,1
2,MAX_WT_010.tif:wt-010:2,140.480,16500.604,396,41552,98.955,2318004.782,14263,130387769.000,2
3,MAX_WT_010.tif:wt-010:3,140.480,4116.853,226,12154,98.955,578335.538,2175,32531374.000,3
4,MAX_WT_010.tif:wt-010:4,140.480,1145.693,191,4889,98.955,160946.951,418,9053266.000,4
