\,SWC Type(s),Path length (µm)
Path (1),Axon,92.74992778735165
Path (2),(Basal) Dendrite,2.441827799864641
Path (3),(Basal) Dendrite,1.8532659915482326
Path (4),(Basal) Dendrite,1.9313708498984763
Path (5),(Basal) Dendrite,1.5865993248815498
Path (6),(Basal) Dendrite,1.8437902832994926
Path (7),(Basal) Dendrite,1.7656854249492437
Path (8),(Basal) Dendrite,3.651303508113364
Path (9),(Basal) Dendrite,2.2856180831641186
Path (10),(Basal) Dendrite,11.340509849221652
Path (11),(Basal) Dendrite,2.4741798914805404
Path (12),(Basal) Dendrite,1.2323520916159205
Path (13),(Basal) Dendrite,2.377123616632824
Path (14),Undefined,3.7522847498307943
Path (15),Undefined,3.1084944665313072
Path (16),Undefined,1.954247233265644
Path (17),Undefined,1.7428090415820643
Path (18),Undefined,2.009475708248735
Path (19),Undefined,1.6323520916159038
Path (20),Undefined,0.9656854249492346
Path (21),Undefined,1.7199326582148875
Path (22),Undefined,3.1960750331302843
Path (23),Undefined,1.820913899932318
Path (24),Undefined,1.931370849898474
Path (25),Undefined,1.4990187582825658
Path (26),Undefined,3.973198649763114
Path (27),Undefined,2.9428090415820596
Path (28),Undefined,2.386599324881546
Path (29),Undefined,1.0209138999323066
Path (30),Undefined,1.7980375165651485
Path (31),Undefined,3.462741699796943
Path (32),Undefined,1.4990187582825711
Path (33),Undefined,3.6189514164974494
Path (34),Undefined,2.8875805665989756
Path (35),Undefined,2.041827799864633
Path (36),Undefined,3.2647041832318173
Path (37),Undefined,4.02842712474618
Path (38),Undefined,0.9104569499661554
Path (39),Undefined,3.196075033130293
Path (40),Undefined,1.8209138999323213
Path (41),Undefined,2.8323520916159106
Path (42),Undefined,2.708494466531305
Path (43),Undefined,2.6856180831641225
Path (44),Undefined,4.340846558147203
Root centroid,Axon,0.0
