\,SWC Type(s),Path length (µm),
Root centroid [L:0.000µm],Undefined,0,neurites
Path (1) [L:88.019µm],Axon,88.01855694,88.01855694
Path (2) [L:10.200µm] {secondary-neurite},Undefined,10.19966329,11.9882251
Path (3) [L:7.004µm] {secondary-neurite},Undefined,7.003588258,
Path (4) [L:4.263µm] {secondary-neurite},Undefined,4.2627417,
Path (5) [L:11.988µm],(Basal) Dendrite,11.9882251,
