\,SWC Type(s),Path length (µm),
Root centroid [L:0.000µm],Undefined,0,neurites
Path (1) [L:83.383µm],Axon,83.38261659,83.38261659
Path (18) [L:4.249µm],(Basal) Dendrite,4.249341025,4.249341025
Path (19) [L:3.463µm],(Basal) Dendrite,3.4627417,3.4627417
Path (20) [L:1.476µm],(Basal) Dendrite,1.476142375,1.476142375
Path (21) [L:8.066µm],(Basal) Dendrite,8.066329958,8.066329958
Path (24) [L:12.144µm],(Basal) Dendrite,12.14443482,12.14443482
Path (25) [L:12.177µm],(Basal) Dendrite,12.17678691,12.17678691
Path (27) [L:21.506µm],(Basal) Dendrite,21.50619527,21.50619527
Path (28) [L:11.325µm],(Basal) Dendrite,11.3254834,11.3254834
Path (29) [L:7.091µm],(Basal) Dendrite,7.091168825,7.091168825
Path (30) [L:19.295µm],(Basal) Dendrite,19.29475708,19.29475708
Path (31) [L:14.436µm],(Basal) Dendrite,14.43560364,14.43560364
Path (35) [L:4.419µm] {secondary-neurite},Undefined,4.418951416,4.418951416
Path (32) [L:32.649µm],(Basal) Dendrite,32.64866761,32.64866761
Path (36) [L:5.914µm] {secondary-neurite},Undefined,5.914045208,16.38267436
Path (37) [L:4.741µm] {secondary-neurite},Undefined,4.740846558,72.75385275
Path (38) [L:3.508µm] {secondary-neurite},Undefined,3.508494467,
Path (33) [L:16.383µm],(Basal) Dendrite,16.38267436,
Path (40) [L:72.754µm],(Basal) Dendrite,72.75385275,
Path (41) [L:8.291µm] {secondary-neurite},Undefined,8.291168825,
